flightdate,STATION_NAME,PRCP,SNWD,SNOW,TMAX,TMIN,monthnum
2014-08-20,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,86,.,8
2014-08-21,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.98,0,0,79,70,8
2014-08-22,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,1.58,0,0,86,72,8
2014-08-23,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.34,0,0,86,68,8
2014-08-24,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,88,70,8
2014-08-25,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0,88,.,8
2014-08-26,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.12,0,.,85,.,8
2014-08-27,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,82,67,8
2014-08-28,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,77,67,8
2014-08-29,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.08,0,0,86,71,8
2014-08-30,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.27,0,0,83,70,8
2014-08-31,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,85,68,8
2014-09-01,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.36,0,0,83,70,9
2014-09-02,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,.,82,.,9
2014-09-03,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,83,.,9
2014-09-04,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.26,0,0,.,71,9
2014-09-05,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.5,0,0,.,64,9
2014-09-06,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0,75,60,9
2014-09-07,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,54,9
2014-09-08,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,77,55,9
2014-09-09,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0,79,63,9
2014-09-10,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,1.31,0,0,80,.,9
2014-09-11,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,56,50,9
2014-09-12,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,.,55,.,9
2014-09-13,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,59,41,9
2014-09-14,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,65,42,9
2014-09-15,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,62,51,9
2014-09-16,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,68,44,9
2014-09-17,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,70,48,9
2014-09-18,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,70,53,9
2014-09-19,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,78,53,9
2014-09-20,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,.,77,63,9
2014-09-21,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,69,.,9
2014-09-22,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,67,46,9
2014-09-23,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,74,51,9
2014-09-24,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,77,54,9
2014-09-25,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,74,56,9
2014-09-26,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0,79,51,9
2014-09-27,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,79,54,9
2014-09-28,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,78,53,9
2014-09-29,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0,83,53,9
2014-09-30,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,58,.,9
2014-10-01,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,70,49,10
2014-10-02,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.32,0,0,72,63,10
2014-10-03,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.68,0,0,65,43,10
2014-10-04,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.06,0,0,.,35,10
2014-10-05,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0,55,37,10
2014-10-06,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0,61,42,10
2014-10-07,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,48,10
2014-10-08,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,65,44,10
2014-10-09,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,62,43,10
2014-10-10,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0,58,39,10
2014-10-11,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0,59,36,10
2014-10-12,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0,63,38,10
2014-10-13,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.64,0,0,67,56,10
2014-10-14,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.65,0,0,65,52,10
2014-10-15,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.05,0,0,55,50,10
2014-10-16,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,56,50,10
2014-10-17,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,62,48,10
2014-10-18,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0,50,36,10
2014-10-19,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0,54,33,10
2014-10-20,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0,65,.,10
2014-10-21,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,53,45,10
2014-10-22,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,56,35,10
2014-10-23,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,59,36,10
2014-10-24,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0,67,52,10
2014-10-25,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,72,49,10
2014-10-26,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,64,.,10
2014-10-27,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,77,.,10
2014-10-28,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,68,45,10
2014-10-29,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,49,36,10
2014-10-30,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,51,32,10
2014-10-31,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.03,0,0.1,47,33,10
2014-11-01,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,43,29,11
2014-11-02,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,51,25,11
2014-11-03,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,62,43,11
2014-11-04,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,60,.,11
2014-11-05,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,60,34,11
2014-11-06,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,51,38,11
2014-11-07,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,43,29,11
2014-11-08,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0,.,36,11
2014-11-09,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,52,35,11
2014-11-10,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,62,41,11
2014-11-11,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.21,0,0,58,31,11
2014-11-12,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,31,24,11
2014-11-13,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,29,.,11
2014-11-14,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,27,21,11
2014-11-15,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.04,0,.,31,17,11
2014-11-16,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0.2,31,.,11
2014-11-17,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0.3,21,11,11
2014-11-18,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,.,11
2014-11-19,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,32,17,11
2014-11-20,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,14,11
2014-11-21,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,35,7,11
2014-11-22,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.07,0,.,52,33,11
2014-11-23,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.63,0,0,.,48,11
2014-11-24,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.43,0,0.7,49,24,11
2014-11-25,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0.2,26,18,11
2014-11-26,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,17,11
2014-11-27,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,15,11
2014-11-28,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,34,18,11
2014-11-29,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,29,11
2014-11-30,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,50,24,11
2014-12-01,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,25,18,12
2014-12-02,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,.,18,12
2014-12-03,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,37,24,12
2014-12-04,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,35,23,12
2014-12-05,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,40,32,12
2014-12-06,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,40,26,12
2014-12-07,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,36,26,12
2014-12-08,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.2,0,0,37,32,12
2014-12-09,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,38,31,12
2014-12-10,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,33,28,12
2014-12-11,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,32,23,12
2014-12-12,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,37,23,12
2014-12-13,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,47,.,12
2014-12-14,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,50,45,12
2014-12-15,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.06,0,.,46,42,12
2014-12-16,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0,45,29,12
2014-12-17,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,24,12
2014-12-18,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,28,19,12
2014-12-19,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,32,27,12
2014-12-20,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,33,.,12
2014-12-21,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,36,31,12
2014-12-22,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.32,0,0,41,28,12
2014-12-23,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,.,48,38,12
2014-12-24,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,40,36,12
2014-12-25,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,42,.,12
2014-12-26,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,50,36,12
2014-12-27,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,49,31,12
2014-12-28,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,35,22,12
2014-12-29,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,30,.,12
2014-12-30,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,20,9,12
2014-12-31,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,.,18,4,12
2015-01-01,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,32,14,1
2015-01-02,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,34,15,1
2015-01-03,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.57,0,.,34,29,1
2015-01-04,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.13,1.2,.,33,2,1
2015-01-05,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.15,2,.,6,-3,1
2015-01-06,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,3.9,.,10,-5,1
2015-01-07,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,3.1,0,6,.,1
2015-01-08,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.06,3.1,.,18,-8,1
2015-01-09,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0,11,0,1
2015-01-10,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,3.9,0,24,-2,1
2015-01-11,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.19,3.9,2.6,.,22,1
2015-01-12,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.9,0.4,28,15,1
2015-01-13,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.9,0.2,19,3,1
2015-01-14,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.9,0,19,1,1
2015-01-15,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0,34,.,1
2015-01-16,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,3.9,0,34,23,1
2015-01-17,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,3.9,0,42,.,1
2015-01-18,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,40,27,1
2015-01-19,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,41,25,1
2015-01-20,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,36,29,1
2015-01-21,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0.1,33,29,1
2015-01-22,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,31,28,1
2015-01-23,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,31,29,1
2015-01-24,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,29,1
2015-01-25,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.08,0,0.6,34,24,1
2015-01-26,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.07,0,1,26,15,1
2015-01-27,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,1.2,0,32,20,1
2015-01-28,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,1.2,0,34,19,1
2015-01-29,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,1.2,0.1,.,28,1
2015-01-30,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,1.2,0,30,18,1
2015-01-31,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.12,0,1.3,36,19,1
2015-02-01,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.87,3.9,16.2,31,19,2
2015-02-02,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.05,18.1,1.8,19,6,2
2015-02-03,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.09,16.9,1.6,26,2,2
2015-02-04,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.02,16.1,0.3,25,.,2
2015-02-05,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,15,0,15,-2,2
2015-02-06,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,14.2,0,31,13,2
2015-02-07,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,14.2,0,41,18,2
2015-02-08,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,9.1,0,39,25,2
2015-02-09,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.9,0,27,19,2
2015-02-10,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.9,0,33,14,2
2015-02-11,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.9,0,35,18,2
2015-02-12,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.9,0,18,8,2
2015-02-13,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0,26,.,2
2015-02-14,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0.2,27,.,2
2015-02-15,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.03,5.1,.,15,-3,2
2015-02-16,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0,18,5,2
2015-02-17,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0.1,19,.,2
2015-02-18,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0,8,-3,2
2015-02-19,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0,4,-8,2
2015-02-20,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,5.1,0.2,18,-7,2
2015-02-21,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0,32,17,2
2015-02-22,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0,28,2,2
2015-02-23,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5.1,0,.,-4,2
2015-02-24,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,5.1,.,29,4,2
2015-02-25,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.17,5.1,2,26,10,2
2015-02-26,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.17,9.8,3.7,19,0,2
2015-02-27,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,9.8,0,14,-2,2
2015-02-28,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,9.1,0.4,21,-10,2
2015-03-01,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,9.1,0,25,10,3
2015-03-02,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,7.9,0,33,13,3
2015-03-03,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.13,9.1,0.7,.,24,3
2015-03-04,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,7.9,.,31,10,3
2015-03-05,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,7.1,0,16,3,3
2015-03-06,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,7.1,0,27,.,3
2015-03-07,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,7.1,0,44,24,3
2015-03-08,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,3.9,0,.,.,3
2015-03-09,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,3.9,0,50,25,3
2015-03-10,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,51,35,3
2015-03-11,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0,51,30,3
2015-03-12,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,56,28,3
2015-03-13,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,65,.,3
2015-03-14,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,60,37,3
2015-03-15,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,62,29,3
2015-03-16,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,73,42,3
2015-03-17,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,28,3
2015-03-18,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,50,28,3
2015-03-19,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,46,37,3
2015-03-20,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,38,3
2015-03-21,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,49,32,3
2015-03-22,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.02,0,0.2,35,26,3
2015-03-23,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.61,2,5.6,31,28,3
2015-03-24,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.04,5.1,.,.,19,3
2015-03-25,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.25,2,0,41,35,3
2015-03-26,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,42,31,3
2015-03-27,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,1.2,0.6,31,.,3
2015-03-28,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,20,3
2015-03-29,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,.,47,24,3
2015-03-30,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,34,3
2015-03-31,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,58,39,3
2015-04-01,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,35,4
2015-04-02,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.36,0,0,65,50,4
2015-04-03,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,53,30,4
2015-04-04,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,58,28,4
2015-04-05,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,.,36,4
2015-04-06,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.04,0,0,62,34,4
2015-04-07,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,46,38,4
2015-04-08,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.05,0,0,.,40,4
2015-04-09,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,1.41,0,0,71,41,4
2015-04-10,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,.,62,39,4
2015-04-11,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,.,62,38,4
2015-04-12,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,68,41,4
2015-04-13,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.22,0,.,65,49,4
2015-04-14,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,66,39,4
2015-04-15,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,64,43,4
2015-04-16,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,66,.,4
2015-04-17,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,78,45,4
2015-04-18,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,65,47,4
2015-04-19,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.46,0,0,68,48,4
2015-04-20,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,0,0,52,41,4
2015-04-21,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,54,38,4
2015-04-22,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,46,.,4
2015-04-23,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,55,32,4
2015-04-24,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.16,0,0,57,29,4
2015-04-25,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.16,0,0,.,.,4
2015-04-26,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,56,35,4
2015-04-27,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,55,.,4
2015-04-28,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,58,35,4
2015-04-29,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,61,.,4
2015-04-30,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,51,38,4
2015-05-01,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,67,38,5
2015-05-02,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,76,50,5
2015-05-03,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.42,0,0,78,55,5
2015-05-04,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,74,55,5
2015-05-05,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.95,0,0,56,47,5
2015-05-06,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0,.,46,5
2015-05-07,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,.,0,0,83,52,5
2015-05-08,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.75,0,0,81,63,5
2015-05-09,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.29,0,.,.,.,5
2015-05-10,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.14,0,.,54,45,5
